Name,Fide ID,Nascimento,Place of Birth,Death,Date they became Grandmaster,Federation,Sexo,Age they became Grandmaster
"Aagaard, Jacob",1401815.0,1973-07-31 00:00:00,Hørsholm,,2007,Denmark • Scotland,M,34.0
"Abasov, Nijat",13402960.0,1995-05-14 00:00:00,Baku,,2011,Azerbaijan,M,16.0
"Abbasifar, Hasan",12501000.0,1972-09-12 00:00:00,Shiraz,,2013,Iran,M,41.0
"Abbasov, Farid",13400665.0,1979-01-31 00:00:00,Baku,,2007,Azerbaijan,M,28.0
"Abdusattorov, Nodirbek",14204118.0,2004-09-18 00:00:00,,,2018,Uzbekistan,M,14.0
"Abergel, Thal",614890.0,1982-10-13 00:00:00,Haifa,,2008,France,M,26.0
"Abramović, Boško",900206.0,1951-02-14 00:00:00,Zrenjanin,,1984,Yugoslavia • Serbia,M,33.0
"Abreu Delgado, Aryam",3502589.0,1978-07-09 00:00:00,Güines,,2008,Cuba,M,30.0
"Ács, Péter",708020.0,1981-05-10 00:00:00,Eger,,1998,Hungary,M,17.0
"Aczél, Gergely",727709.0,1991-02-27 00:00:00,Budapest,,2018,Hungary,M,27.0
"Adams, Michael",400041.0,1971-11-17 00:00:00,Truro,,1989,England,M,18.0
"Adhiban, B.",5018471.0,1992-08-15 00:00:00,Madras,,2010,India,M,18.0
"Adianto, Utut",7100019.0,1965-03-16 00:00:00,Jakarta,,1986,Indonesia,M,21.0
"Adly, Ahmed",10601619.0,1987-02-19 00:00:00,Cairo,,2005,Egypt,M,18.0
"Adorján, András",700096.0,1950-03-31 00:00:00,Budapest,,1973,Hungary,M,23.0
"Afanasiev, Nikita",24183555.0,2000-08-29 00:00:00,,,2020,Russia,M,20.0
"Agaragimov, Djakhangir",13401718.0,1986-12-05 00:00:00,,,2014,Azerbaijan,M,28.0
"Agdestein, Simen",1500015.0,1967-05-15 00:00:00,Asker,,1985,Norway,M,18.0
"Aghamaliyev, Cemil",13400215.0,1974-08-31 00:00:00,,,2002,Azerbaijan • Turkey,M,28.0
"Aghasaryan, Robert",13302841.0,1994-03-01 00:00:00,Saint Petersburg,,2014,Armenia,M,20.0
"Agrest, Evgeny",1705024.0,1966-08-15 00:00:00,Vitebsk,,1997,Russia • Sweden,M,31.0
"Agüero Jiménez, Luis Lázaro",3508455.0,1991-01-05 00:00:00,Havana,,2019,Cuba,M,28.0
"Agzamov, Georgy",,1954-09-06 00:00:00,Almalyk,1986-08-27 00:00:00,1984,Soviet Union,M,30.0
"Ajrapetjan, Yuriy",14109069.0,1988-04-18 00:00:00,Yerevan,,2007,Ukraine,M,19.0
Akash G,5040299.0,1996-10-01 00:00:00,Chennai,,2020,India,M,24.0
"Akbaev, Kazbek",4131045.0,1981-06-08 00:00:00,Cherkessk,,2015,Russia,M,34.0
"Åkesson, Ralf",1700120.0,1961-02-08 00:00:00,Oxelösund,,1995,Sweden,M,34.0
"Akobian, Varuzhan",13300580.0,1983-11-19 00:00:00,Yerevan,,2004,Armenia • United States,M,21.0
"Akopian, Vladimir",13300032.0,1971-12-07 00:00:00,Baku,,1991,Armenia,M,20.0
Akshayraj Kore,5012414.0,1988-09-01 00:00:00,Ahmednagar,,2013,India,M,25.0
"Al Sayed, Mohamad Naser",12100196.0,1981-11-02 00:00:00,,,2009,Qatar,M,28.0
"Al-Mudahka, Mohd",12100030.0,1974-06-01 00:00:00,,,1998,Qatar,M,24.0
"Alatortsev, Vladimir",,1909-05-14 00:00:00,Turki,1987-01-13 00:00:00,1983,Soviet Union,M,74.0
"Alavkin, Arseny",4120612.0,1969-01-17 00:00:00,Kazan,,2010,Russia,M,41.0
"Albornoz Cabrera, Carlos Daniel",3518736.0,2000-12-26 00:00:00,Camagüey,,2019,Cuba,M,19.0
"Alburt, Lev",2000156.0,1945-08-21 00:00:00,Orenburg,,1977,Soviet Union • United States,M,32.0
"Aleksandrov, Aleksej",13500139.0,1973-05-11 00:00:00,,,1997,Belarus,M,24.0
"Alekseenko, Kirill",4135539.0,1997-06-22 00:00:00,Saint Petersburg,,2015,Russia,M,18.0
"Alekseev, Evgeny",4138147.0,1985-11-28 00:00:00,Pushkin,,2002,Russia,M,17.0
